"plant","num_leaf_segments","num_uninfected","perc_infected","blackSpore","Undifilum","unk_infections","notAlfuInfected","morphospecies_not_counting_Undifilum","notes","startCulturedate","endCultureDate","Height","Width","Length","Flowering.","Weight.mg.","d15N....vs..air.","wt...N","d13C....vs..VPDB.","wt...C","percN","percC","m1","m2","m3","a1","a2","a3","m4","a4","X","treament","status","DateFlowering","DateFruiting","width","height","length","vol","X.Fl_Stems_atCollectionTime","X.Fl_stemsEndOfYear","X.LeavesCollection","X.LeavesEndofYear","lvs_with_herbivory","lvs_with_fungus","blackdotFungusPresence","leafarea_avg","sla_1","sla_2","sla_3","sla_4","sla_avg","ndfa","tube_before","tube_after","sample_mg","Calculated.amount","top","bottom","X..Swainsonine","treatment_failed"
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,36,27,"",NA,NA,NA,NA,NA,NA,NA,1.48,5.01,1.12,0.312,0.609,0.288,NA,NA,"","treated_plus","good",NA,NA,38,17,23,NA,NA,NA,24,NA,NA,4,"",0.55225,0.210810810810811,0.121556886227545,0.257142857142857,NA,0.196503518060404,NA,NA,NA,NA,NA,NA,NA,NA,"no"
45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,25,25,"",NA,NA,NA,NA,NA,NA,NA,2.99,1.92,3.19,0.314,0.34,0.429,NA,NA,"","untreated_plus","good",NA,NA,24,13,24,NA,NA,NA,19,NA,NA,9,"",0.52075,0.105016722408027,0.177083333333333,0.13448275862069,NA,0.138860938120683,NA,NA,NA,NA,NA,NA,NA,NA,"no"
46,14,14,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",8,26,23,"",3.543,1.6,2.56,-29.46,42.58,0.722551510019757,12.0180637877505,3.8,NA,NA,0.367,NA,NA,NA,NA,"","treated_neg","good",NA,NA,21,12,28,NA,NA,NA,14,NA,NA,4,"",NA,0.0965789473684211,NA,NA,NA,0.0965789473684211,47.5806451612903,1249.25,1296.15,46.9,"NF","#VALUE!",9380,0,"no"
47,17,6,0.647058824,NA,11,NA,0,NA,"white fuzzy, some black spore contam","9/16/17","10/28/17",12,26,25,"",3.314,0.92,2.84,-30.02,42.37,0.856970428485214,12.7851538925769,5.53,5.29,3.14,0.592,0.64,0.382,NA,NA,"","treated_plus","good",NA,NA,22,18,20,NA,NA,NA,24,NA,NA,10,"",0.6535,0.107052441229656,0.120982986767486,0.121656050955414,NA,0.116563826317519,56.7204301075269,1293.79,1335.65,41.86,"4.757","7.13483717",8372,0.085,"no"
48,7,2,0.714285714,NA,0,5,5,NA,"tan fuzzy","9/17/17","10/28/17",11,13,11,"",3.918,1.43,2.74,-30.18,42.73,0.69933639612047,10.9060745278203,3.05,3.2,3.89,0.387,0.295,0.41,NA,NA,"","treated_controlplus","good",NA,NA,13,13,12,NA,NA,NA,7,NA,NA,1,"",0.523,0.126885245901639,0.0921875,0.105398457583548,NA,0.108157067828396,49.8655913978495,1250.09,1276.85,26.76,"2.716","4.07446168",5352,0.076,"no"
49,9,9,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",12,37,29,"",3.384,3.07,3.48,-29.68,43.69,1.02836879432624,12.910756501182,2.54,2.9,2.82,0.4,0.413,0.408,NA,NA,"","treated_neg","good",NA,NA,29,12,28,NA,NA,NA,28,NA,2,6,"",0.55525,0.15748031496063,0.142413793103448,0.14468085106383,NA,0.148191653042636,27.8225806451613,1233,1280.4,47.4,"NF","#VALUE!",9480,0,"no"
50,13,3,0.769230769,NA,10,NA,0,NA,"fuzzy not as white","","10/7/17",8,12,8,"",NA,1.56,NA,-29.7,NA,0.866459455052506,12.3973596488721,3.02,3.45,3.8,0.386,0.328,0.412,NA,NA,"","untreated_plus","good",NA,NA,11,10,11,NA,NA,NA,5,NA,NA,NA,"",0.5315,0.127814569536424,0.0950724637681159,0.108421052631579,NA,0.110436028645373,48.1182795698925,1320.98,1346.97,25.99,"1.841","2.76163868",5198,0.053,"no"
51,10,10,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",8,24,22,"",3.817,1.22,3.12,-30.44,43.16,0.817395860623526,11.3073094052921,1.77,2.02,2.31,0.304,0.346,0.382,NA,NA,"","untreated_neg","good",NA,NA,19,13,18,NA,NA,NA,27,NA,1,6,"",0.508,0.171751412429379,0.171287128712871,0.165367965367965,NA,0.169468835503405,52.6881720430108,1250.31,1301.56,51.25,"NF","#VALUE!",10250,0,"no"
52,9,8,0.111111111,1,0,NA,1,1,"","9/16/17","10/7/17",18,47,39,"y",3.769,3.54,3.51,-29.8,43.59,0.931281507031043,11.5654019633855,2.12,2.88,2.26,0.357,0.388,0.415,NA,NA,"","untreated_neg","good",NA,NA,32,15,26,NA,NA,NA,62,NA,1,10,"yes",0.54,0.168396226415094,0.134722222222222,0.183628318584071,NA,0.162248922407129,21.505376344086,1311.94,1357.85,45.91,"NF","#VALUE!",9182,0,"no"
53,9,9,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",9,22,18,"",3.199,2.41,2.52,-30.6,41.2,0.787746170678337,12.8790246952173,1.78,1.45,2.01,0.274,0.185,0.231,NA,NA,"","untreated_neg","good",NA,NA,19,13,18,NA,NA,NA,23,NA,NA,7,"",0.4225,0.153932584269663,0.127586206896552,0.114925373134328,NA,0.132148054766848,36.6935483870968,1303.79,1331.07,27.28,"NF","#VALUE!",5456,0,"no"
