rns,treament,status,DateFlowering,DateFruiting,width,height,length,vol,#Fl_Stems_atCollectionTime,#Fl_stemsEndOfYear,#LeavesCollection,#LeavesEndofYear,lvs_with_herbivory,lvs_with_fungus,blackdotFungusPresence
191,treated_plus,good,,,25,13,21,,,,26,,,3,
192,treated_plus,good,,,26,14,20,,,,21,,,3,
193,controlplus,dead,,,,,,,,,,,,,
194,untreated_neg,good,,,21,14,19,,,,23,,3,4,
195,untreated_neg,good,,,14,10,10,,,,9,,1,,
196,treated_neg,good,,,13,10,13,,,,7,,1,,
197,untreated_neg,good,,,34,20,32,,1,,58,,5,6,
198,treated_plus,weak,,,9,7,9,,,,2,,1,1,
199,untreated_neg,good,,,11,12,10,,,,6,,,3,
200,untreated_neg,good,,,16,13,9,,,,6,,,1,
201,untreated_neg,good,,,68,25,59,,5,,111,,6,35,
202,treated_plus,good,,,16,7,13,,,,7,,3,,
203,treated_neg,good,,,17,13,16,,,,15,,2,,
204,treated_plus,good,,,21,12,18,,,,24,,4,6,
205,treated_neg,good,,,29,13,23,,,,21,,,4,
206,treated_plus,good,,,27,10,20,,,,15,,,8,
207,untreated_neg,weak,,,13,10,12,,,,4,,,1,
208,treated_controlneg,dontuse,,,9,9,5,,,,3,,,,
209,untreated_plus,good,,,14,10,10,,,,5,,,,
210,controlNeg,dead,,,,,,,,,,,,,
211,untreated_neg,weak,,,10,11,10,,,,5,,,,
212,untreated_plus,good,,,12,11,12,,,,6,,4,,
213,untreated_neg,good,,,43,14,36,,,,58,,2,32,yes
214,treated_controlneg,dead,,,,,,,,,,,,,
215,untreated_plus,dontuse,,,7,8,6,,,,3,,,,
216,treated_plus,good,,,63,23,49,,8,,98,,8,14,
217,treated_plus,weak,,,10,6,9,,,,5,,,,
218,treated_plus,weak,,,15,10,13,,,,5,,2,,
219,untreated_neg,good,,,53,23,49,,1,,116,,NA,13,
220,treated_neg,good,,,14,11,11,,,,7,,2,,
221,untreated_neg,dontuse,,,6,6,5,,,,0,,,,
222,controlplus,good,,,13,11,11,,,,6,,2,,
223,treated_plus,dead,,,,,,,,,,,,,
224,untreated_plus,good,,,16,12,15,,,,13,,,,
225,untreated_plus,dead,,,,,,,,,,,,,
226,treated_controlneg,weak,,,14,9,11,,,,5,,,2,
227,untreated_plus,good,,,17,13,15,,,,14,,,5,
228,controlplus,dead,,,,,,,,,,,,,
229,treated_controlneg,dead,,,,,,,,,,,,,
230,controlNeg,dontuse,,,8,5,6,,,,0,,,,
231,treated_neg,good,,,25,12,23,,,,45,,,13,yes
232,treated_controlneg,good,,,11,10,10,,,,4,,,1,
233,controlNeg,dead,,,,,,,,,,,,,
234,untreated_plus,dead,,,,,,,,,,,,,
235,untreated_plus,good,,,24,11,22,,,,20,,3,4,
236,untreated_plus,dead,,,,,,,,,,,,,
237,treated_controlneg,dead,,,,,,,,,,,,,
238,treated_plus,dontuse,,,12,6,7,,,,3,,,,
239,treated_plus,good,,,71,20,42,,5,,92,,10,18,
240,untreated_plus,good,,,20,12,19,,,,18,,,,
241,untreated_plus,weak,,,5,5,4,,,,0,,,,
242,treated_controlplus,dead,,,,,,,,,,,,,
243,treated_controlneg,dead,,,,,,,,,,,,,
244,untreated_plus,weak,,,13,7,12,,,,5,,1,,
245,treated_controlneg,dead,,,,,,,,,,,,,
246,treated_plus,weak,,,14,8,11,,,,5,,3,,
247,untreated_plus,good,,,18,11,18,,,,16,,,4,
248,treated_plus,good,,,31,15,24,,,,36,,4,10,
249,untreated_plus,dontuse,,,11,9,11,,,,3,,,1,
250,treated_controlneg,dead,,,,,,,,,,,,,
251,untreated_neg,good,,,19,11,14,,,,9,,,3,
252,treated_neg,dontuse,,,9,9,8,,,,3,,1,,
253,untreated_plus,good,,,16,13,14,,,,11,,,5,
254,untreated_plus,good,,,11,11,10,,,,4,,,,
255,treated_neg,weak,,,15,8,14,,,,6,,1,,
256,treated_neg,weak,,,12,9,9,,,,4,,,1,
257,untreated_plus,good,,,13,10,12,,,,5,,,4,yes
258,untreated_plus,good,,,22,10,12,,,,22,,2,4,yes
259,treated_plus,good,,,16,9,14,,,,5,,1,15,
260,treated_neg,good,,,45,26,42,,2,,54,,7,,
261,treated_controlneg,dead,,,,,,,,,,,,,
262,untreated_plus,weak,,,13,8,11,,,,5,,3,,
263,untreated_neg,dontuse,,,9,8,7,,,,3,,1,,
264,untreated_neg,dontuse,,,10,5,6,,,,2,,,,
265,untreated_plus,dontuse,,,5,4,4,,,,0,,,,
266,untreated_plus,weak,,,9,8,8,,,,4,,4,,
267,untreated_plus,dead,,,,,,,,,,,,,
268,untreated_plus,dead,,,,,,,,,,,,,
269,untreated_plus,good,,,15,13,14,,,,6,,3,,
270,treated_plus,good,,,38,16,27,,,,35,,3,5,
271,treated_neg,good,,,15,13,13,,,,12,,1,,
272,untreated_neg,good,,,15,10,13,,,,11,,1,,
273,controlNeg,weak,,,17,10,15,,,,5,,2,,
274,untreated_neg,weak,,,12,7,10,,,,4,,,,
275,treated_neg,good,,,,,,,,,NA,,NA,NA,
276,treated_plus,good,,,54,21,39,,,,117,,13,18,yes
277,treated_plus,dontuse,,,8,6,3,,,,0,,,,
278,treated_neg,dontuse,,,9,10,9,,,,2,,,,
279,untreated_neg,dead,,,,,,,,,,,,,
280,treated_neg,dead,,,,,,,,,,,,,
281,untreated_plus,good,,,9,10,9,,,,3,,1,,
282,treated_neg,good,,,15,10,14,,,,7,,2,,
283,untreated_neg,dead,,,,,,,,,,,,,
284,treated_plus,dontuse,,,8,7,7,,,,1,,,,
285,controlNeg,dead,,,,,,,,,,,,,
286,untreated_neg,dead,,,,,,,,,,,,,
287,treated_plus,good,,,25,14,22,,,,23,,,,
288,treated_plus,good,,,14,13,12,,,,4,,1,,
289,untreated_neg,dead,,,,,,,,,,,,,
290,treated_plus,dead,,,,,,,,,,,,,
291,controlNeg,weak,,,14,6,13,,,,4,,2,,
292,untreated_neg,dead,,,,,,,,,,,,,
293,treated_plus,dead,,,,,,,,,,,,,
294,untreated_plus,good,,,22,14,22,,,,27,,6,,
295,treated_plus,dontuse,,,12,6,7,,,,4,,3,,
296,treated_neg,dontuse,,,9,8,7,,,,4,,,,
297,untreated_neg,weak,,,13,10,13,,,,6,,2,,
298,treated_plus,dontuse,,,8,8,7,,,,2,,,,
299,untreated_plus,dead,,,,,,,,,,,,,
300,treated_plus,dead,,,,,,,,,,,,,
